module_name	n_paired_patients	n_samples_used	model_formula	group_coefficient	standard_error	t_statistic	p_value	fdr_bh_across_modules	direction	interpretation	notes	lower	upper	module_label	nominal
MAGMA_top50	26	52	module_score ~ group_binary + factor(patient_id)	0.170412678077428	0.0941584308594188	1.80985044591343	0.0823578410385841	0.0823578410385841	no_clear_shift	no_clear_shift	Patient fixed-effect paired base model; no composition or injury/remodeling adjustment.	-0.0141378464070329	0.354963202561889	Top 50	FALSE
MAGMA_top100	26	52	module_score ~ group_binary + factor(patient_id)	0.169086129009649	0.0835523132766101	2.0237157102984	0.0538124781711585	0.071294375225806	no_clear_shift	no_clear_shift	Patient fixed-effect paired base model; no composition or injury/remodeling adjustment.	0.00532359498749321	0.332848663031805	Top 100	FALSE
MAGMA_Bonferroni	26	52	module_score ~ group_binary + factor(patient_id)	0.17423017748957	0.0873271196250735	1.99514398548357	0.0570355001806448	0.071294375225806	no_clear_shift	no_clear_shift	Patient fixed-effect paired base model; no composition or injury/remodeling adjustment.	0.00306902302442594	0.345391331954714	Bonferroni	FALSE
MAGMA_FDR05	26	52	module_score ~ group_binary + factor(patient_id)	0.172126461072211	0.0787545742105936	2.18560588762674	0.0384243004957732	0.071294375225806	positive_disease_context_shift	positive_disease_context_shift	Patient fixed-effect paired base model; no composition or injury/remodeling adjustment.	0.0177674956194475	0.326485426524974	FDR 0.05	TRUE
MAGMA_suggestive_p1e4	26	52	module_score ~ group_binary + factor(patient_id)	0.173421603305168	0.0839032315019713	2.0669240051987	0.0492445152631739	0.071294375225806	positive_disease_context_shift	positive_disease_context_shift	Patient fixed-effect paired base model; no composition or injury/remodeling adjustment.	0.00897126956130426	0.337871937049032	Suggestive	TRUE
