metric	value	source	notes
Included samples	55	Phase 5-Step 1/2 locked metadata	Filename-derived labels remain manually reviewable.
Included patients	29	Phase 5-Step 1/2 locked metadata	Filename-derived labels remain manually reviewable.
Complete pairs	26	Phase 5-Step 1/2 locked metadata	Filename-derived labels remain manually reviewable.
Control/adjacent	27	Phase 5-Step 1/2 locked metadata	Filename-derived labels remain manually reviewable.
Plaque/stone papilla	28	Phase 5-Step 1/2 locked metadata	Filename-derived labels remain manually reviewable.
