sample_id	patient_id	pair_id	group_curated	module_name	module_score	group_order
GSM1900678	ST19	ST19	plaque_or_stone_papilla	MAGMA_FDR05	0.450388930291063	1
GSM1900679	ST20	ST20	control_or_adjacent	MAGMA_FDR05	-0.175223626094579	0
GSM1900680	ST20	ST20	plaque_or_stone_papilla	MAGMA_FDR05	0.174903538167428	1
GSM1900682	ST22	ST22	control_or_adjacent	MAGMA_FDR05	-0.212010047710913	0
GSM1900683	ST22	ST22	plaque_or_stone_papilla	MAGMA_FDR05	0.294567945949103	1
GSM1900703	ST27	ST27	control_or_adjacent	MAGMA_FDR05	-0.116754822064501	0
GSM1900704	ST27	ST27	plaque_or_stone_papilla	MAGMA_FDR05	0.0112773162938773	1
GSM1900705	ST29	ST29	control_or_adjacent	MAGMA_FDR05	0.232854502074058	0
GSM1900706	ST29	ST29	plaque_or_stone_papilla	MAGMA_FDR05	0.425233309758865	1
GSM1900707	ST31	ST31	control_or_adjacent	MAGMA_FDR05	0.246677467197752	0
GSM1900708	ST31	ST31	plaque_or_stone_papilla	MAGMA_FDR05	0.0527143720795347	1
GSM1900686	ST33	ST33	control_or_adjacent	MAGMA_FDR05	-0.581567353136683	0
GSM1900687	ST33	ST33	plaque_or_stone_papilla	MAGMA_FDR05	-0.0343264388314361	1
GSM1900688	ST34	ST34	control_or_adjacent	MAGMA_FDR05	-0.813832801954136	0
GSM1900689	ST34	ST34	plaque_or_stone_papilla	MAGMA_FDR05	-0.636503717546995	1
GSM1900710	ST35	ST35	control_or_adjacent	MAGMA_FDR05	0.375227258310543	0
GSM1900711	ST35	ST35	plaque_or_stone_papilla	MAGMA_FDR05	-0.183070029037721	1
GSM1900690	ST38	ST38	control_or_adjacent	MAGMA_FDR05	-0.770205230132772	0
GSM1900691	ST38	ST38	plaque_or_stone_papilla	MAGMA_FDR05	-0.672727006945293	1
GSM1900714	ST40	ST40	control_or_adjacent	MAGMA_FDR05	-0.40772174438548	0
GSM1900715	ST40	ST40	plaque_or_stone_papilla	MAGMA_FDR05	0.879715112235172	1
GSM1900692	ST41	ST41	control_or_adjacent	MAGMA_FDR05	-0.716454334286819	0
GSM1900693	ST41	ST41	plaque_or_stone_papilla	MAGMA_FDR05	-0.559475119919646	1
GSM1900694	ST42	ST42	control_or_adjacent	MAGMA_FDR05	-0.958749125031501	0
GSM1900695	ST42	ST42	plaque_or_stone_papilla	MAGMA_FDR05	-0.921013577473418	1
GSM1900716	ST43	ST43	control_or_adjacent	MAGMA_FDR05	-0.432837683568074	0
GSM1900717	ST43	ST43	plaque_or_stone_papilla	MAGMA_FDR05	0.0755020828979385	1
GSM1900718	ST44	ST44	control_or_adjacent	MAGMA_FDR05	0.586172144413042	0
GSM1900719	ST44	ST44	plaque_or_stone_papilla	MAGMA_FDR05	1.05570495822974	1
GSM1900720	ST45	ST45	control_or_adjacent	MAGMA_FDR05	0.419098097782818	0
GSM1900721	ST45	ST45	plaque_or_stone_papilla	MAGMA_FDR05	0.0723652407168086	1
GSM1900696	ST46	ST46	control_or_adjacent	MAGMA_FDR05	-0.879778617721593	0
GSM1900697	ST46	ST46	plaque_or_stone_papilla	MAGMA_FDR05	-0.926980836274291	1
GSM1900698	ST47	ST47	control_or_adjacent	MAGMA_FDR05	-0.805445260749994	0
GSM1900699	ST47	ST47	plaque_or_stone_papilla	MAGMA_FDR05	-0.779058883785735	1
GSM1900722	ST48	ST48	control_or_adjacent	MAGMA_FDR05	0.00258318093039036	0
GSM1900723	ST48	ST48	plaque_or_stone_papilla	MAGMA_FDR05	-0.122537519782127	1
