module_name	gene	mean_expression_loop_tal	detection_fraction_loop_tal	mean_expression_other_compartments	loop_tal_specificity_ratio	approx_contribution_rank	curated_exemplar	known_tal_marker	known_transport_or_calcium_gene	notes
MAGMA_top100	MED1	0.184892584094263	0.174074074074074	0.154650609144675	1.19555031125513	34	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	LRRC37A	0.0616900125746152	0.0703703703703704	0.0382975623415698	1.61080779537883	61	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	SHROOM3	0.878356978668106	0.568518518518519	0.373228971265139	2.35339977584625	13	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	DZIP1	0.639629758696598	0.487037037037037	0.162599907197742	3.93376458071998	18	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	PKD2	1.1213711171622	0.737037037037037	0.785693140959329	1.42723801224199	7	yes	no	yes	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	TRIOBP	0.251623787312602	0.238888888888889	0.269171862873532	0.934807170005053	30	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	RBKS	0.391309448223701	0.331481481481482	0.142642709972449	2.7432838772903	27	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	KCNK5	0.0259001762562734	0.0259259259259259	0.0624933992649449	0.414446599904436	69	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	MXD3	0.0096991116011809	0.0111111111111111	0.011360518428546	0.853756085906566	76	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	YAF2	0.437816095787036	0.348148148148148	0.346913171634551	1.26203364796483	26	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	KANSL1	1.53294020843201	0.848148148148148	0.969594294660707	1.581011992637	4	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	RAB29	0.0853011894044113	0.0851851851851852	0.0639622693472998	1.33361730190699	54	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	SPCS1	0.23630679002401	0.209259259259259	0.378465509059643	0.624381310166865	31	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	MAPT	0.00865009614908086	0.0111111111111111	0.00973623281292379	0.888443859842272	78	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	PRELID1	0.169304911130355	0.162962962962963	0.225483910889154	0.75085140537026	35	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	CRHR1	0	0	0.000343681340677444	2.90966360979987e-06	87	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	PBRM1	0.623427395571285	0.487037037037037	0.442348106494269	1.40935924899229	19	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	STAB1	0.0170116937979972	0.0185185185185185	0.0702545481780441	0.242143676061247	72	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	GLT8D1	0.125868864404409	0.133333333333333	0.0867093404932489	1.4516182828376	45	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	AQP1	0.105554607246608	0.0796296296296296	0.143109055321465	0.737581610555107	49	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	ZCRB1	0.167586705861537	0.15	0.196611934210567	0.852373009207479	38	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	NEK4	0.158803783249127	0.162962962962963	0.132600259083902	1.19761291681211	40	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	ASCC3	0.768831822876949	0.566666666666667	0.543251808281323	1.415240245392	14	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	NT5DC2	0.0274452270596212	0.0314814814814815	0.0276964272949939	0.990930229966938	68	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	AIF1	0.00868807520113769	0.00740740740740741	0.0224401037346148	0.387167364140506	77	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	DXO	0.0460033996332935	0.0462962962962963	0.0199333336332389	2.30786275752291	65	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	GNL3	0.148973582709143	0.15	0.144994992947866	1.02743949741264	41	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	ATG16L1	0.103822877768717	0.105555555555556	0.0902315148654088	1.15062766897966	51	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	AP1S3	0.383433733571728	0.314814814814815	0.104197568572745	3.67987215195106	28	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	CPNE8	0.515942889728294	0.394444444444444	0.433231515383949	1.19091726067095	21	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	BNIP1	0.0631196269708586	0.062962962962963	0.0327281387788231	1.92860420413202	60	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	HLA-DQA2	0	0	0.000484631195099064	2.0634204869439e-06	87	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	PKN1	0.141087687669069	0.140740740740741	0.216329232312139	0.652189657906729	42	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	DNAJB11	0.105117039636382	0.105555555555556	0.104532498565478	1.00559195535679	50	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	TBCCD1	0.080869768174678	0.0814814814814815	0.0459638619690478	1.75942063940831	58	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	PLCL1	2.75056291622922	0.935185185185185	0.453587951243981	6.06401229049777	1	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	BAG6	0.124548366375809	0.122222222222222	0.173330602067061	0.718559591739388	46	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	TMEM170A	0.133023068466667	0.124074074074074	0.0961375625517846	1.38367423254922	43	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
