file_path	used_for	source_phase	description	script_mapping	required_for_reproducibility	notes
source_data/locked_tables/phase2_step2_donor_compartment_module_scores.tsv	Figure 2 / Supplementary Table 3	Phase 2	phase2 step2 donor compartment module scores.tsv	scripts/phase2/phase2_step1_scrna_object_audit.R;scripts/phase2/phase2_step2_scrna_module_scoring_and_qc.R;scripts/phase2/phase2_step3_scrna_matched_random_benchmark.R;scripts/phase2/phase2_step4_known_driver_removal_sensitivity.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase2_step4_original_vs_driver_removed_summary.tsv	Figure 2 / Supplementary Table 3	Phase 2	phase2 step4 original vs driver removed summary.tsv	scripts/phase2/phase2_step1_scrna_object_audit.R;scripts/phase2/phase2_step2_scrna_module_scoring_and_qc.R;scripts/phase2/phase2_step3_scrna_matched_random_benchmark.R;scripts/phase2/phase2_step4_known_driver_removal_sensitivity.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase3_step1B_section_inclusion_decision.tsv	Supplementary Figure S2	Phase 3	phase3 step1B section inclusion decision.tsv	scripts/phase3/phase3_step1_spatial_input_audit.R;scripts/phase3/phase3_step1B_spatial_metadata_locking.R;scripts/phase3/phase3_step2_seurat_label_transfer.R;scripts/phase3/phase3_step2B_loop_tal_projection_usability_audit.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase3_step2B_loop_tal_projection_usability.tsv	Supplementary Figure S2	Phase 3	phase3 step2B loop tal projection usability.tsv	scripts/phase3/phase3_step1_spatial_input_audit.R;scripts/phase3/phase3_step1B_spatial_metadata_locking.R;scripts/phase3/phase3_step2_seurat_label_transfer.R;scripts/phase3/phase3_step2B_loop_tal_projection_usability_audit.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase3_step2B_predicted_compartment_composition.tsv	Supplementary Figure S2	Phase 3	phase3 step2B predicted compartment composition.tsv	scripts/phase3/phase3_step1_spatial_input_audit.R;scripts/phase3/phase3_step1B_spatial_metadata_locking.R;scripts/phase3/phase3_step2_seurat_label_transfer.R;scripts/phase3/phase3_step2B_loop_tal_projection_usability_audit.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase3_step2B_section_quality_flags.tsv	Supplementary Figure S2	Phase 3	phase3 step2B section quality flags.tsv	scripts/phase3/phase3_step1_spatial_input_audit.R;scripts/phase3/phase3_step1B_spatial_metadata_locking.R;scripts/phase3/phase3_step2_seurat_label_transfer.R;scripts/phase3/phase3_step2B_loop_tal_projection_usability_audit.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase3_step2_label_transfer_summary.tsv	Supplementary Figure S2	Phase 3	phase3 step2 label transfer summary.tsv	scripts/phase3/phase3_step1_spatial_input_audit.R;scripts/phase3/phase3_step1B_spatial_metadata_locking.R;scripts/phase3/phase3_step2_seurat_label_transfer.R;scripts/phase3/phase3_step2B_loop_tal_projection_usability_audit.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase3_step3_predicted_compartment_module_summary.tsv	Supplementary Figure S2	Phase 3	phase3 step3 predicted compartment module summary.tsv	scripts/phase3/phase3_step1_spatial_input_audit.R;scripts/phase3/phase3_step1B_spatial_metadata_locking.R;scripts/phase3/phase3_step2_seurat_label_transfer.R;scripts/phase3/phase3_step2B_loop_tal_projection_usability_audit.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase3_step3_spatial_magma_module_gene_mapping.tsv	Supplementary Figure S2	Phase 3	phase3 step3 spatial magma module gene mapping.tsv	scripts/phase3/phase3_step1_spatial_input_audit.R;scripts/phase3/phase3_step1B_spatial_metadata_locking.R;scripts/phase3/phase3_step2_seurat_label_transfer.R;scripts/phase3/phase3_step2B_loop_tal_projection_usability_audit.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase3_step3_spatial_module_scores.tsv.gz	Supplementary Figure S2	Phase 3	phase3 step3 spatial module scores.tsv.gz	scripts/phase3/phase3_step1_spatial_input_audit.R;scripts/phase3/phase3_step1B_spatial_metadata_locking.R;scripts/phase3/phase3_step2_seurat_label_transfer.R;scripts/phase3/phase3_step2B_loop_tal_projection_usability_audit.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase3_step4_spatial_figure_manifest.tsv	Supplementary Figure S2	Phase 3	phase3 step4 spatial figure manifest.tsv	scripts/phase3/phase3_step1_spatial_input_audit.R;scripts/phase3/phase3_step1B_spatial_metadata_locking.R;scripts/phase3/phase3_step2_seurat_label_transfer.R;scripts/phase3/phase3_step2B_loop_tal_projection_usability_audit.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase4_step1_magma_twas_overlap_summary.tsv	Figure 3 / Supplementary Figure S3 / Supplementary Tables 4-5	Phase 4	phase4 step1 magma twas overlap summary.tsv	scripts/phase4/phase4_step1_twas_audit.R;scripts/phase4/phase4_step2_candidate_evidence_model_repair.R;scripts/phase4/phase6_step4_reexport_figure3_bulk_reviewed.R;scripts/phase4/phase6_step6_reexport_full_candidate_matrix_bulk_reviewed.R	yes	author-generated derived source data; no raw third-party data
