module_name	module_role	model_type	n_samples	n_patients	effect_estimate	standard_error	test_statistic	p_value	fdr	effect_direction	model_status	interpretation	notes	module_label	ci_low	ci_high	fdr_label
R1_MAGMA_Bonferroni_only	primary_MAGMA_module	paired_patient_fixed_effect_lm	52	26	0.177026685507256	0.078334081028549	2.25989356334873	0.0327923422305686	0.035660286299055	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.	R1 MAGMA Bonf.	0.0234918866913	0.330561484323212	FDR 0.04
R1_R2_R3_all_MAGMA_Bonferroni	primary_MAGMA_module	paired_patient_fixed_effect_lm	52	26	0.17383884561453	0.075603181601083	2.29935886206196	0.0301153078375514	0.035660286299055	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.	R1-R3 MAGMA Bonf.	0.0256566096764073	0.322021081552653	FDR 0.04
MAGMA_top50	primary_MAGMA_module	paired_patient_fixed_effect_lm	52	26	0.181638440598484	0.0817920039035322	2.22073591463431	0.035660286299055	0.035660286299055	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.	MAGMA top 50	0.0213261129475609	0.341950768249407	FDR 0.04
MAGMA_top100	primary_MAGMA_module	paired_patient_fixed_effect_lm	52	26	0.168482820166528	0.0739875317005377	2.27717855014352	0.0315943027916656	0.035660286299055	increase	paired_model_success	bulk paired module shift estimate; not causal or cell-type-specific	Linear model with patient fixed effects on sample-level module scores.	MAGMA top 100	0.0234672580334741	0.313498382299582	FDR 0.04
