analysis_level	module_name	signature_name	n_observations	correlation_method	correlation	p_value	fdr_bh	interpretation	notes
sample_level	MAGMA_FDR05	endothelial_proxy	55	Spearman	0.78023088023088	2.18942555557456e-12	7.81937698419487e-12	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_FDR05	endothelial_proxy	26	Spearman	0.66974358974359	0.00018228435902983	0.00257908626752204	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_FDR05	immune_proxy	55	Spearman	0.646753246753247	9.57988206432465e-08	1.08862296185507e-07	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_FDR05	immune_proxy	26	Spearman	0.273846153846154	0.175826304947627	0.179414596885334	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_FDR05	mineralization_remodeling_proxy	55	Spearman	0.675685425685426	1.51623685323814e-08	2.22976007829138e-08	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_FDR05	mineralization_remodeling_proxy	26	Spearman	0.385299145299145	0.0519164436547149	0.0665595431470704	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_suggestive_p1e4	injury_KIM1_LCN2_like	55	Spearman	0.791991341991342	5.9843307455961e-13	3.74020671599756e-12	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_suggestive_p1e4	injury_KIM1_LCN2_like	26	Spearman	0.613675213675214	0.00085540034379829	0.00388818338090132	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_suggestive_p1e4	inflammatory_stress	55	Spearman	0.646897546897547	9.49679345089543e-08	1.08862296185507e-07	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_suggestive_p1e4	inflammatory_stress	26	Spearman	0.286837606837607	0.155399225970602	0.161874193719377	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_suggestive_p1e4	epithelial_transport	55	Spearman	0.74978354978355	4.48042559349117e-11	1.12010639837279e-10	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_suggestive_p1e4	epithelial_transport	26	Spearman	0.589059829059829	0.00154455954124742	0.00461493345636811	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_suggestive_p1e4	Loop_TAL_transport_proxy	55	Spearman	0.54992784992785	1.3677771923905e-05	1.39569101264337e-05	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_suggestive_p1e4	Loop_TAL_transport_proxy	26	Spearman	0.31965811965812	0.111413638311548	0.121101780773422	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_suggestive_p1e4	collecting_duct_proxy	55	Spearman	0.727200577200577	3.22666139739885e-10	7.01448129869316e-10	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_suggestive_p1e4	collecting_duct_proxy	26	Spearman	0.565811965811966	0.00258950076882254	0.00676364803116852	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_suggestive_p1e4	fibroblast_stromal_ECM	55	Spearman	0.822438672438672	1.36139108861671e-14	2.65276708544331e-13	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_suggestive_p1e4	fibroblast_stromal_ECM	26	Spearman	0.618461538461538	0.000758228564936533	0.00379114282468266	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_suggestive_p1e4	fibrosis_remodeling	55	Spearman	0.772727272727273	4.80909137057084e-12	1.60303045685695e-11	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_suggestive_p1e4	fibrosis_remodeling	26	Spearman	0.493333333333333	0.0104374990533094	0.0193287019505729	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_suggestive_p1e4	endothelial_proxy	55	Spearman	0.794011544011544	4.74915366822866e-13	3.39225262016333e-12	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_suggestive_p1e4	endothelial_proxy	26	Spearman	0.665641025641026	0.000206326901401763	0.00257908626752204	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
