sample_id	section_id	module_name	predicted_compartment	n_spots	mean_module_score	median_module_score	sd_module_score	iqr_module_score	median_prediction_score_max	notes
GSM6250309	V10M09-035_XY03-KRP449-440	MAGMA_top100	Collecting duct	804	0.198190369410213	0.199430575002487	0.0495819655761292	0.0669828460558198	0.967942099753371	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250309	V10M09-035_XY03-KRP449-440	MAGMA_top100	Injured/undifferentiated epithelial	135	0.206254968732565	0.205538864811411	0.0437369979324981	0.0545146387934316	0.671459711927189	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250309	V10M09-035_XY03-KRP449-440	MAGMA_top50	Collecting duct	804	0.221196081368671	0.219142483714904	0.0692732121500959	0.0981225817908739	0.967942099753371	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250309	V10M09-035_XY03-KRP449-440	MAGMA_top50	Injured/undifferentiated epithelial	135	0.234318629235595	0.237579883109077	0.0610098814526166	0.0687937926306135	0.671459711927189	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250310	V10M09-035_XY02-KRP429-478	MAGMA_Bonferroni	Injured/undifferentiated epithelial	1064	0.202213793456802	0.20477913289261	0.0526769334225607	0.0674013692680548	0.99685126586694	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250310	V10M09-035_XY02-KRP429-478	MAGMA_Bonferroni	Collecting duct	21	0.173386892414994	0.175912031354019	0.0665741820854995	0.0550005815993575	0.578020477140358	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250310	V10M09-035_XY02-KRP429-478	MAGMA_FDR05	Injured/undifferentiated epithelial	1064	0.189509128660215	0.19260947916797	0.0366752071108	0.0471639053726208	0.99685126586694	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250310	V10M09-035_XY02-KRP429-478	MAGMA_FDR05	Collecting duct	21	0.170342766462841	0.194633501558859	0.0578720056038922	0.0585918994823076	0.578020477140358	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250310	V10M09-035_XY02-KRP429-478	MAGMA_suggestive_p1e4	Injured/undifferentiated epithelial	1064	0.18667609524583	0.189074192227205	0.0431589637940016	0.0560105195022249	0.99685126586694	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250310	V10M09-035_XY02-KRP429-478	MAGMA_suggestive_p1e4	Collecting duct	21	0.167689491815371	0.178607184623055	0.0608533979035869	0.075336458138348	0.578020477140358	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250310	V10M09-035_XY02-KRP429-478	MAGMA_top100	Injured/undifferentiated epithelial	1064	0.194105279842113	0.196290336097926	0.0502615323387661	0.0640772326859147	0.99685126586694	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250310	V10M09-035_XY02-KRP429-478	MAGMA_top100	Collecting duct	21	0.17267873767886	0.173139325870441	0.0689818672639426	0.0753581219380432	0.578020477140358	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250310	V10M09-035_XY02-KRP429-478	MAGMA_top50	Injured/undifferentiated epithelial	1064	0.217106020806174	0.219051091011766	0.0663656872056788	0.0868601412382174	0.99685126586694	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM6250310	V10M09-035_XY02-KRP429-478	MAGMA_top50	Collecting duct	21	0.172009708976444	0.184463341769361	0.0717127415452148	0.0423003417079758	0.578020477140358	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_446	MAGMA_Bonferroni	Collecting duct	52	0.142712223015425	0.151158666724234	0.0662728513902676	0.10274854356872	0.618946807520139	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_446	MAGMA_Bonferroni	Injured/undifferentiated epithelial	604	0.206867826051035	0.210057479850116	0.0510426486153176	0.0598116121887308	0.856251551787825	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_446	MAGMA_FDR05	Collecting duct	52	0.151203156880098	0.147741683273772	0.0512225949067419	0.0682687430685022	0.618946807520139	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_446	MAGMA_FDR05	Injured/undifferentiated epithelial	604	0.213602980671367	0.220250706648593	0.0407141328218945	0.0503814893868159	0.856251551787825	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_446	MAGMA_suggestive_p1e4	Collecting duct	52	0.143998726316959	0.141396161793148	0.0558446661625044	0.0707912517339193	0.618946807520139	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_446	MAGMA_suggestive_p1e4	Injured/undifferentiated epithelial	604	0.206605784447321	0.212628717212967	0.046634882400567	0.0589032089831249	0.856251551787825	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_446	MAGMA_top100	Collecting duct	52	0.136352494181355	0.143615220326921	0.0650263584143653	0.10035227978155	0.618946807520139	Predicted broad-compartment context only; not true cell fraction or histological ROI.
