module_name	donor_id	sample_id	compartment	n_nuclei	n_genes_used	mean_module_score	median_module_score	sd_module_score	se_module_score	detection_fraction_mean	notes
MAGMA_FDR05	GSM7290910	GSM7290910	Pericyte_smooth_muscle	113	341	0.213255285492309	0.220352135258714	0.042917155709769	0.0040373063987848	0.169542989126204	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_FDR05	GSM7290912	GSM7290912	Collecting_duct_principal	16248	341	0.181144211657346	0.180353602448894	0.0804118661056556	0.000630841398199298	0.117813011229174	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_FDR05	GSM7290912	GSM7290912	Endothelial	810	341	0.220548488492109	0.221571631931599	0.0550939042150626	0.00193580247234166	0.16250678831324	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_FDR05	GSM7290912	GSM7290912	Fibroblast_stromal	1733	341	0.194256124132894	0.201411085105165	0.0556160693463939	0.00133598324205374	0.126260464030134	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_FDR05	GSM7290912	GSM7290912	Injured_undifferentiated_epithelial	55	341	0.149904984157829	0.137267791061721	0.0546721381372951	0.00737198960254714	0.081524926686217	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_FDR05	GSM7290912	GSM7290912	Loop_of_Henle_TAL	244	341	0.257794589555148	0.263781456421886	0.0406477692208447	0.00260220677363468	0.18321234556031	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_FDR05	GSM7290912	GSM7290912	Pericyte_smooth_muscle	14	341	0.200463398327112	0.206196308285677	0.0428020146974904	0.0114393196044051	0.136154168412233	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_FDR05	GSM7290913	GSM7290913	Collecting_duct_principal	1385	341	0.211330936713314	0.231114296654761	0.07410031478663	0.00199110959966798	0.167729231290428	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_FDR05	GSM7290913	GSM7290913	Endothelial	305	341	0.219172383430872	0.229173951982868	0.0496184410491964	0.00284114366960207	0.191327340031729	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_FDR05	GSM7290913	GSM7290913	Fibroblast_stromal	761	341	0.205965273389089	0.219227729275256	0.0587498506979611	0.00212968042398891	0.169810520961384	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_FDR05	GSM7290913	GSM7290913	Injured_undifferentiated_epithelial	1727	341	0.1189518252615	0.101056174482722	0.0637882660082768	0.00153495139492949	0.0660189130032416	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_FDR05	GSM7290913	GSM7290913	Loop_of_Henle_TAL	263	341	0.268938203582944	0.272477082174423	0.040043287202977	0.00246917486719577	0.205824961252411	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_FDR05	GSM7290913	GSM7290913	Pericyte_smooth_muscle	21	341	0.217697232057898	0.219927098293235	0.0377787502316983	0.0082439991713137	0.166038262812456	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_FDR05	GSM7290914	GSM7290914	Collecting_duct_principal	10898	341	0.190451109519814	0.197729792569867	0.0727074193243036	0.000696474673284473	0.130293486550036	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_FDR05	GSM7290914	GSM7290914	Endothelial	1172	341	0.188269748495381	0.190151078675282	0.0435850602617849	0.00127313320407178	0.112057490016314	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_FDR05	GSM7290914	GSM7290914	Fibroblast_stromal	26	341	0.119151437169936	0.108404437498187	0.0369904696066186	0.0072544279361965	0.0508684863523573	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_FDR05	GSM7290914	GSM7290914	Injured_undifferentiated_epithelial	13	341	0.136977875875402	0.133308831779015	0.0400899219424578	0.0111189437840677	0.0636138055492894	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_FDR05	GSM7290914	GSM7290914	Loop_of_Henle_TAL	4	341	0.234082119444023	0.232119971065185	0.0533583987657743	0.0266791993828871	0.159824046920821	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290910	GSM7290910	Collecting_duct_principal	6318	172	0.119925698679967	0.100415956277773	0.0755068259564837	0.000949940499463106	0.0679757724331368	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290910	GSM7290910	Endothelial	271	172	0.207246630895938	0.216736399237604	0.0592124777120192	0.00359690186327188	0.156526216424955	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290910	GSM7290910	Fibroblast_stromal	902	172	0.190956463942223	0.204382383168888	0.0799431375562812	0.00266181532057037	0.13466199144021	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290910	GSM7290910	Injured_undifferentiated_epithelial	566	172	0.21314705904866	0.229656773267241	0.0847394729654183	0.00356186572146794	0.16470129016353	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290910	GSM7290910	Loop_of_Henle_TAL	29	172	0.309429962276796	0.324107719522109	0.0569570146050526	0.0105766520886405	0.267642341619888	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290910	GSM7290910	Pericyte_smooth_muscle	113	172	0.226485298731085	0.233231232391037	0.0517159650528339	0.00486502875537977	0.176065033957604	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290912	GSM7290912	Collecting_duct_principal	16248	172	0.187255220669836	0.184607818207531	0.0945455159973744	0.000741721693498454	0.121434265970481	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290912	GSM7290912	Endothelial	810	172	0.22367613412591	0.222153626220235	0.0650724809023484	0.00228641391832478	0.165884295147861	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290912	GSM7290912	Fibroblast_stromal	1733	172	0.2004289343095	0.207182724098136	0.0663312400119343	0.00159337806720306	0.130352661737275	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290912	GSM7290912	Injured_undifferentiated_epithelial	55	172	0.157754556232213	0.151942273727543	0.0646896105728518	0.00872274531020347	0.0856236786469345	Descriptive donor x compartment summary; no cell-level significance test.
