gene	twas_z	twas_p	twas_fdr	reference_tissue	n_model_snps	model_class	magma_overlap	current_exemplar_gene	interpretation_class	notes
EFCAB13	-3.08988661703337	0.00200232917672367	0.110554526674104	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
MANSC4	-3.06702613830566	0.0021619995087114	0.118275257527028	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PMM1	-3.06086301803589	0.00220700039562939	0.119639485083073	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LINC00235	3.04022693634033	0.00236399949168773	0.126979978356808	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
USP49	-3.03756237030029	0.00238500043199102	0.126979978356808	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TPPP3	-3.03084115819055	0.00243873506408611	0.128691833514562	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
OVGP1	3.02748250961304	0.00246599984369799	0.128989097087466	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CCDC125	-3.02322053909302	0.00250099906422188	0.129682238434392	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
GRSF1	3.01415038108826	0.0025770003657291	0.130440590937618	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RIOX1	-3.01379752159119	0.00257999930650619	0.130440590937618	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CCNY	3.00982308387756	0.00261399901228531	0.130440590937618	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ACHE	3.00959062576294	0.00261600022038125	0.130440590937618	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
MTX2	3.00854730606079	0.00262499931452527	0.130440590937618	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TECR	-3.00315070152283	0.0026720008150118	0.131678850081945	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
FBXW12	2.99594020843506	0.0027360007534124	0.133727643381952	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
