gene	twas_z	twas_p	twas_fdr	reference_tissue	n_model_snps	model_class	magma_overlap	current_exemplar_gene	interpretation_class	notes
HAPLN4	-1.80343449115753	0.0713200048914129	0.578169237614857	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
MAP3K12	-1.80298864841461	0.0713899974533801	0.578169237614857	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
HCG20	1.80298794950117	0.0713901072195251	0.578169237614857	GTEx_v8_Kidney_Cortex	2	multi_snp_model	no	no	not_fdr_supported	proxy only
TTC21A	1.80184364318848	0.071570009049042	0.578169237614857	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
MAPK1IP1L	-1.80158960819244	0.0716099974441986	0.578169237614857	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SWT1	1.801145195961	0.0716799977064218	0.578169237614857	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TRMT1L	-1.801145195961	0.0716799977064218	0.578169237614857	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ERICH6	1.80089139938354	0.071719998859037	0.578169237614857	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RAB39A	1.80070114135742	0.0717499976245169	0.578169237614857	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SCOC	1.79930782318115	0.0719700012705227	0.578242495003579	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SCG5	-1.79911816120148	0.0719999914023512	0.578242495003579	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
HADH	1.79880201816559	0.0720500039892099	0.578242495003579	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SLC30A5	-1.79678344726563	0.0723700051861274	0.578785220698959	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
FBN1	1.79659461975098	0.0723999991718773	0.578785220698959	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
AAK1	-1.79496049880981	0.0726599937199309	0.578785220698959	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LTK	-1.79489767551422	0.0726700043685404	0.578785220698959	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PDE8B	1.79470944404602	0.0727000050819253	0.578785220698959	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SCT	-1.79470944404602	0.0727000050819253	0.578785220698959	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
SLC2A4RG	-1.79370665550232	0.0728600024585988	0.579285592880833	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RP1-261G23.5	-1.7925181388855	0.073050006247072	0.580022885820626	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
IGHMBP2	-1.7866967412883	0.0739865160708157	0.585651722711658	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
TMEM33	-1.78574848175049	0.0741399916343796	0.585651722711658	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
GNPAT	-1.78525483608246	0.0742199909893048	0.585651722711658	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ASCC2	-1.78519308567047	0.0742300031157195	0.585651722711658	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
HDAC5	1.78506982326508	0.0742499920124121	0.585651722711658	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
INSL5	-1.78279304504395	0.0746199983372235	0.587090114462492	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RP11-290F24.6	1.78230202198029	0.0746999931597481	0.587090114462492	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
SNW1	-1.7811986207962	0.0748800089062711	0.587090114462492	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RP11-493E12.1	1.78113746643066	0.0748899963641945	0.587090114462492	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
LHX4	-1.78077018260956	0.074950002408808	0.587090114462492	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PPM1E	-1.77973091602325	0.0751200083311406	0.587090114462492	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CBR3	1.779181599617	0.0752099940515215	0.587090114462492	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ALDH18A1	1.77912056446075	0.0752199978952447	0.587090114462492	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
POLR2M	1.77747571468353	0.0754900030613952	0.587615290889571	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ZNF7	1.77723240852356	0.0755300093033346	0.587615290889571	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
FLOT2	-1.77686774730682	0.0755900020651682	0.587615290889571	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
APOBEC3H	1.775720797774	0.0757789476780354	0.587615290889571	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
GPR1	-1.77571439743042	0.0757800031350126	0.587615290889571	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
JSRP1	1.7746844291687	0.0759500077410195	0.587875855232835	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
C14orf37	1.77420043945313	0.0760300015584577	0.587875855232835	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
RP4-669P10.20	-1.77372065710676	0.0761093678081081	0.587875855232835	GTEx_v8_Kidney_Cortex	2	multi_snp_model	no	no	not_fdr_supported	proxy only
PANK2	1.77293181419373	0.0762400061738148	0.588123100665534	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SLC16A3	-1.77094411849976	0.0765699948124117	0.589375191560128	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ABLIM3	1.77076375484467	0.0765999955490691	0.589375191560128	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PKDREJ	-1.76944279670715	0.0768200089841464	0.59030633192328	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
KCNAB1	1.7680652141571	0.0770500019939874	0.591011481820944	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PPP1R12C	-1.76770639419556	0.07711000047907	0.591011481820944	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ACACB	1.7669894695282	0.0772299918828847	0.591171298584905	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
DRAXIN	1.7654390335083	0.0774900080842527	0.591514348428642	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TMEM87A	1.7654390335083	0.0774900080842527	0.591514348428642	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SLC25A39	1.76418995857239	0.0777000027621722	0.591514348428642	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TCTN3	1.76395237445831	0.0777399978578025	0.591514348428642	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
MDN1	1.76371479034424	0.0777800097183726	0.591514348428642	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LINC01702	-1.76318085193634	0.0778699922046762	0.591514348428642	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
MFSD5	-1.75893207483509	0.0785890464309677	0.595186090769254	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
MEX3B	1.75775027275085	0.0787900098044306	0.595186090769254	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
FANCD2	-1.75745666027069	0.0788400028789048	0.595186090769254	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RBL2	-1.7570458650589	0.0789099918367223	0.595186090769254	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
C12orf65	-1.75593209266663	0.0791000043772161	0.595186090769254	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
CCNF	1.75528836250305	0.0792099960526817	0.595186090769254	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
METTL13	-1.75522983074188	0.0792200033137106	0.595186090769254	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ATP6V1C1	-1.75423645973206	0.0793899982664447	0.595186090769254	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
HIF3A	1.75423645973206	0.0793899982664447	0.595186090769254	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PTPMT1	1.75376951694489	0.0794700083093749	0.595186090769254	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TEX38	-1.7531281709671	0.079580008964006	0.595186090769254	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
IAH1	1.75167334079742	0.0798299935040934	0.595186090769254	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
USP21	-1.7514408826828	0.0798699960280409	0.595186090769254	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TXNRD3	1.75091814994812	0.0799600099306285	0.595186090769254	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
NODAL	-1.7504540681839	0.0800399932809748	0.595186090769254	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
KPNA4	-1.75023879125029	0.0800771177985306	0.595186090769254	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
HERC2	1.75022208690643	0.0800799990483045	0.595186090769254	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
NLRC5	-1.74981641769409	0.0801499967948534	0.595186090769254	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PLEKHH1	1.74883269399202	0.0803199436203009	0.595706248517231	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
SAC3D1	-1.74612057209015	0.0807900027912311	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ERAP1	-1.74560272693634	0.0808800080849156	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PAQR5	-1.7441668510437	0.0811299997755157	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ITGA11	1.74388015270233	0.0811799901388946	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
KLHDC10	1.74359345436096	0.0812300055020816	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
DDX55	1.7429062128067	0.081349998637239	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
HEMK1	-1.74279177188873	0.0813699941129387	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ITSN1	-1.74239122867584	0.0814400096902691	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
WASHC3	-1.7421053647995	0.0814900090315629	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LPA	1.7416742218627	0.0815654656810281	0.595866336040236	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
LARS2	1.7411345243454	0.0816600009428773	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TCERG1	1.7409063577652	0.0816999941069279	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
UFM1	-1.7408492565155	0.0817100053310967	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
FAM102A	1.74022221565247	0.0818200061782467	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
RP11-386B13.4	1.73891341686249	0.0820499938576335	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
RP4-597N16.4	1.73851561546326	0.082120001013268	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
RP11-1017G21.6	-1.73828840255737	0.0821600088506127	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
AC108463.1	1.73806142807007	0.0821999904868254	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
PNMA1	-1.73755073547363	0.0822900068545173	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ARF3	1.73675739765167	0.0824300017149437	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CPNE8	1.73670077323914	0.0824400012130127	0.595866336040236	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RAB29	1.73568248748779	0.0826199916825006	0.596444322521491	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
COBLL1	-1.73218858242035	0.0832399912425429	0.60019355233287	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
NDUFAF8	-1.73050546646118	0.0835400054151956	0.601629290206294	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
MUL1	-1.72977769374847	0.0836700012668212	0.601838621898739	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
UBLCP1	1.72888326644897	0.0838299895181975	0.602262924695195	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ESPL1	-1.72681999206543	0.0841999968716378	0.604193238683004	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SLC38A10	1.72587442398071	0.0843700068743035	0.604675364023348	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
EIF3E	1.7253190279007	0.0844699946723878	0.604675364023348	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SEMA4G	1.72360038757324	0.0847800085299716	0.606166895520648	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RNF149	1.72122502326965	0.0852099987401991	0.607855019225134	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ZFAND2A	1.72116994857788	0.0852199892792574	0.607855019225134	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
EIF3F	1.72034358978272	0.0853700043603608	0.608197534051173	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SELL	1.71935367584229	0.0855499918016597	0.608197778371705	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
MFSD14A	-1.71831047534943	0.0857399996821468	0.608197778371705	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ZNF189	1.71820080280304	0.0857599951672426	0.608197778371705	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CLPTM1L	-1.7172691822052	0.0859300001273285	0.608197778371705	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
FDXR	1.71666717529297	0.086040000938572	0.608197778371705	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CLN3	1.7161750793457	0.0861300029155116	0.608197778371705	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ATL3	-1.71551966667175	0.08624999282507	0.608197778371705	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CTD-2376I4.1	-1.71551966667175	0.08624999282507	0.608197778371705	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
SDHC	-1.71513760089874	0.086320001927805	0.608197778371705	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RMI1	-1.7147558927536	0.0863899913266533	0.608197778371705	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SPTBN1	1.71073520183563	0.0871300062345632	0.611688428635875	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
REEP3	-1.7095992565155	0.0873400032334073	0.611688428635875	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LRRC39	1.70819997589389	0.0875992430060962	0.611688428635875	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
MYLK4	1.70695722103119	0.0878300039485485	0.611688428635875	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
NDFIP1	-1.70625829696655	0.0879599989197701	0.611688428635875	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PCDHGC3	1.70577490329742	0.0880499974840382	0.611688428635875	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CASP9	-1.70528550598022	0.0881411894404659	0.611688428635875	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
RPS15	-1.70497012138367	0.0881999970382331	0.611688428635875	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
NUDCD1	1.70448780059814	0.0882899932585908	0.611688428635875	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LINC01215	-1.70411288738251	0.0883599994300222	0.611688428635875	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
SPATA41	1.70373821258545	0.0884300057805968	0.611688428635875	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
ATP6V1D	-1.70336389541626	0.0884999899486396	0.611688428635875	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
EIF2S1	1.70336389541626	0.0884999899486396	0.611688428635875	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LRRC19	1.7030965089798	0.0885500091536448	0.611688428635875	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LINC01451	1.70234882831573	0.0886899965532231	0.611688428635875	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
COL28A1	-1.70170867443085	0.0888099935045779	0.611688428635875	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SOX17	1.70170867443085	0.0888099935045779	0.611688428635875	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LY6G5C	1.70144212245941	0.0888599972781504	0.611688428635875	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RP11-1072A3.4	1.70064318180084	0.0890100103324414	0.611688428635875	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
SETD1A	-1.70064318180084	0.0890100103324414	0.611688428635875	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
HTR2B	-1.70048356056213	0.0890400060466107	0.611688428635875	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CTU1	-1.69931423664093	0.0892599915472354	0.61192966263233	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PLEKHH2	-1.6990487575531	0.0893099971895424	0.61192966263233	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
STK36	1.69866148437451	0.0893829844294414	0.61192966263233	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
GBP7	-1.69735264778137	0.0896300092224917	0.612917138754264	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RP1-29C18.9	1.69666504859924	0.0897600041269249	0.613102983515296	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
WDR18	1.69578243503022	0.0899270901332497	0.613541462774105	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
FSD2	1.69318640232086	0.0904199920132708	0.615116306809235	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
DCUN1D4	-1.69213628768921	0.090619990965726	0.615116306809235	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
NR1H3	-1.69176912307739	0.0906900029870318	0.615116306809235	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
IPP	1.69171667098999	0.0907000082551363	0.615116306809235	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ATAD2B	1.6910879611969	0.0908200041523797	0.615116306809235	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
DCTN5	1.69091028520689	0.0908539386200465	0.615116306809235	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
DCBLD2	1.69077384471893	0.0908800044103532	0.615116306809235	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CCT8	1.68952864353701	0.091118167464615	0.616029061895124	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
RP11-357H14.17	1.68764185905457	0.0914799987980913	0.617774895620633	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
PAIP2	-1.68670547008514	0.0916599997579428	0.617959678741816	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
KRTAP5-9	1.68608200550079	0.0917800053953331	0.617959678741816	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CPO	-1.68588340711784	0.0918182584882188	0.617959678741816	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
MMP21	-1.68158161640167	0.0926499978604728	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
NLE1	-1.67926704883575	0.0931000098555467	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
IPO8	1.67911314964294	0.0931299939408313	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
DUSP19	-1.67880523204804	0.0931900086011163	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PPP1R16A	-1.67755817007019	0.093433384583495	0.620339346964221	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
C16orf62	1.67696154117584	0.0935500025869098	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
ZNF160	1.67685925960541	0.0935700064199509	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SV2B	1.67670595645905	0.093599995280621	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PCDHGB5	1.67614032877511	0.0937107089656192	0.620339346964221	GTEx_v8_Kidney_Cortex	3	multi_snp_model	yes	no	not_fdr_supported	proxy only
NADSYN1	1.67517447471619	0.0939000041461929	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
NOSIP	-1.6743084192276	0.0940700007106457	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PPP1CC	-1.67425751686096	0.09407999992312	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PARM1	1.67308783531189	0.0943100059349929	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TBX6	-1.6727831363678	0.0943699958404091	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TMEM199	-1.67192053794861	0.0945399923017239	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
FLT4	-1.67166697978973	0.0945900088885207	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TMEM69	1.67156565189362	0.0946100026410055	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ZCWPW1	-1.67065417766571	0.0947900046217765	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CTD-3025N20.3	-1.67014837265015	0.0948900115740896	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
DPY19L3	-1.67014837265015	0.0948900115740896	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
KCNK17	-1.66994619369507	0.0949300097122812	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
HVCN1	1.6698956489563	0.0949400113571478	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
NCOA3	-1.66918861865997	0.0950800049607806	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
HRASLS2	1.66828083992004	0.095259989612797	0.620339346964221	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
