module_name	observed_loop_tal_mean_rank	observed_n_donors_top_rank	observed_n_donors_top_two	observed_median_loop_tal_percentile	observed_loop_tal_delta	random_set_n	random_percentile_for_top_rank_count	random_percentile_for_median_percentile	random_percentile_for_delta	empirical_p_top_rank_count	empirical_p_median_percentile	empirical_p_delta	benchmark_status	interpretation	notes	module_label	support_label	small_p_note
MAGMA_top100	1	4	4	100	0.142054042949215	1000	1	1	1	0.432567432567433	0.594405594405594	0.000999000999000999	complete_expression_detection_matched	partial_support	Empirical P values are random-set benchmark tail proportions, not donor-level biological replicate tests. Rank metrics can saturate when matched random sets also rank Loop/TAL highly; delta support is interpreted as partial support when rank metrics are not selective.	MAGMA top100	partial	p_delta=0.001
MAGMA_top50	1	4	4	100	0.178030465619444	1000	1	1	1	0.306693306693307	0.476523476523477	0.000999000999000999	complete_expression_detection_matched	partial_support	Empirical P values are random-set benchmark tail proportions, not donor-level biological replicate tests. Rank metrics can saturate when matched random sets also rank Loop/TAL highly; delta support is interpreted as partial support when rank metrics are not selective.	MAGMA top50	partial	p_delta=0.001
R1_MAGMA_Bonferroni_only	1	4	4	100	0.180734858464175	1000	1	1	1	0.354645354645355	0.493506493506494	0.000999000999000999	complete_expression_detection_matched	partial_support	Empirical P values are random-set benchmark tail proportions, not donor-level biological replicate tests. Rank metrics can saturate when matched random sets also rank Loop/TAL highly; delta support is interpreted as partial support when rank metrics are not selective.	R1 Bonferroni	partial	p_delta=0.001
R1_R2_R3_all_MAGMA_Bonferroni	1	4	4	100	0.149370457811452	1000	1	1	1	0.415584415584416	0.575424575424576	0.000999000999000999	complete_expression_detection_matched	partial_support	Empirical P values are random-set benchmark tail proportions, not donor-level biological replicate tests. Rank metrics can saturate when matched random sets also rank Loop/TAL highly; delta support is interpreted as partial support when rank metrics are not selective.	R1-R3 Bonf.	partial	p_delta=0.001
