record_type	packaging_source_file	donor_id	sample_id	compartment	n_nuclei	percent_within_donor	notes	module_name	loop_tal_mean_score	other_compartments_mean_score	loop_tal_minus_other	loop_tal_rank_within_donor	n_loop_tal_nuclei	n_other_nuclei	donor_subset	statistic_name	n_observed_genes_used	n_random_sets_successful	observed_value	random_median	random_p025	random_p975	observed_minus_random_median	observed_percentile	empirical_p_one_sided	benchmark_support_class	full_4_donor_value	exclude_GSM7290914_value	donors_loop_tal_ge20_value	donors_loop_tal_ge50_value	interpretation	original_value	driver_removed_value	absolute_change	percent_change	n_driver_removed_genes_used
donor_LoopTAL_contrast	results/tables/phase2_step2_loop_tal_vs_other_summary.tsv	GSM7290913					Descriptive donor-level contrast; no significance test.	MAGMA_suggestive_p1e4	0.324703261411088	0.181753661164211	0.142949600246877	1	263	4199																						
donor_LoopTAL_contrast	results/tables/phase2_step2_loop_tal_vs_other_summary.tsv	GSM7290914					Descriptive donor-level contrast; no significance test.	MAGMA_suggestive_p1e4	0.271561454115452	0.202389072153644	0.0691723819618089	1	4	12109																						
donor_LoopTAL_contrast	results/tables/phase2_step2_loop_tal_vs_other_summary.tsv	GSM7290910					Descriptive donor-level contrast; no significance test.	MAGMA_top100	0.333139103921268	0.129885136531632	0.203253967389636	1	29	8170																						
donor_LoopTAL_contrast	results/tables/phase2_step2_loop_tal_vs_other_summary.tsv	GSM7290912					Descriptive donor-level contrast; no significance test.	MAGMA_top100	0.313414324597887	0.170913848116495	0.142500476481392	1	244	18860																						
donor_LoopTAL_contrast	results/tables/phase2_step2_loop_tal_vs_other_summary.tsv	GSM7290913					Descriptive donor-level contrast; no significance test.	MAGMA_top100	0.365040499778777	0.175715111586401	0.189325388192375	1	263	4199																						
donor_LoopTAL_contrast	results/tables/phase2_step2_loop_tal_vs_other_summary.tsv	GSM7290914					Descriptive donor-level contrast; no significance test.	MAGMA_top100	0.265657219805234	0.176462373763474	0.0891948460417603	1	4	12109																						
donor_LoopTAL_contrast	results/tables/phase2_step2_loop_tal_vs_other_summary.tsv	GSM7290910					Descriptive donor-level contrast; no significance test.	MAGMA_top50	0.3980713845059	0.148265983535701	0.249805400970199	1	29	8170																						
donor_LoopTAL_contrast	results/tables/phase2_step2_loop_tal_vs_other_summary.tsv	GSM7290912					Descriptive donor-level contrast; no significance test.	MAGMA_top50	0.363367935726546	0.195676125399228	0.167691810327319	1	244	18860																						
donor_LoopTAL_contrast	results/tables/phase2_step2_loop_tal_vs_other_summary.tsv	GSM7290913					Descriptive donor-level contrast; no significance test.	MAGMA_top50	0.42800470971909	0.205206332635172	0.222798377083918	1	263	4199																						
donor_LoopTAL_contrast	results/tables/phase2_step2_loop_tal_vs_other_summary.tsv	GSM7290914					Descriptive donor-level contrast; no significance test.	MAGMA_top50	0.305653749506964	0.204403906783072	0.101249842723891	1	4	12109																						
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							exclude_GSM7290914	mean_loop_tal_minus_other	84	1000	0.184381323754809	0.0693333409112872	0.0308083380126283	0.119630702047332	0.115047982843522	100	0.000999000999000999	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							exclude_GSM7290914	median_loop_tal_minus_other	84	1000	0.195369917230528	0.0631920047688781	0.0219479854819923	0.111354960276308	0.13217791246165	100	0.000999000999000999	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							exclude_GSM7290914	n_donors_loop_tal_top_rank	84	1000	3	2	0	3	1	100	0.458541458541459	partial_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							full_4_donors	mean_loop_tal_minus_other	84	1000	0.163545561814093	0.0596039457574607	0.0237100603549137	0.107460987730968	0.103941616056632	100	0.000999000999000999	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							full_4_donors	median_loop_tal_minus_other	84	1000	0.171158004600998	0.0576603850589361	0.0218754444330875	0.10465727441211	0.113497619542061	100	0.000999000999000999	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							full_4_donors	n_donors_loop_tal_top_rank	84	1000	4	3	0	4	1	100	0.415584415584416	partial_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							leave_one_out_exclude_GSM7290910	mean_loop_tal_minus_other	84	1000	0.147784761731314	0.047377926291544	0.0116527015175602	0.0951655441371897	0.10040683543977	100	0.000999000999000999	strong_matched_random_support										
