source_component	source_path	cluster	current_phase1_cell_type	grouping	candidate_cell_type	marker_genes_requested	marker_genes_present	n_markers_present	mean_marker_expression	pct_cells_with_any_marker	n_cells	top_immune_marker_set	top_immune_mean_marker_expression	top_immune_pct_cells_with_any_marker	audit_flag	immune_review_flag	confidence	group
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	22	Collecting_duct_principal	seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	1.03786451217632	0.893424036281179	441	T_cell	0.569498382909793	0.596371882086168	phase1_label_consistent_with_top_marker_set	immune_marker_signal_requires_manual_review	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	23	Collecting_duct_principal	seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	0.900766319300168	0.831884057971015	345	Macrophage_myeloid	0.0464320442132266	0.153623188405797	phase1_label_consistent_with_top_marker_set	no_strong_cluster_level_immune_signal	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	24	Collecting_duct_principal	seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	1.05930269369943	0.995833333333333	240	Macrophage_myeloid	0.0671949224959304	0.345833333333333	phase1_label_consistent_with_top_marker_set	no_strong_cluster_level_immune_signal	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	25	Injured_undifferentiated_epithelial	seurat_cluster	Injured_undifferentiated_epithelial	KRT8,KRT18,PROM1,HAVCR1,VCAM1	KRT8,KRT18,PROM1,HAVCR1,VCAM1	5	1.02120909767751	1	165	Macrophage_myeloid	0.0263326277122315	0.16969696969697	phase1_label_consistent_with_top_marker_set	no_strong_cluster_level_immune_signal	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	26	Collecting_duct_principal	seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	1.13221482736427	0.993589743589744	156	Macrophage_myeloid	0.352087274862505	0.711538461538462	phase1_label_consistent_with_top_marker_set	immune_marker_signal_requires_manual_review	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	27	Pericyte_smooth_muscle	seurat_cluster	Pericyte_smooth_muscle	RGS5,ACTA2,TAGLN,MYH11,PDGFRB,CSPG4,MCAM	RGS5,ACTA2,TAGLN,MYH11,PDGFRB,CSPG4,MCAM	7	0.970883769077696	0.932432432432432	148	Macrophage_myeloid	0.0361509095335496	0.148648648648649	phase1_label_consistent_with_top_marker_set	no_strong_cluster_level_immune_signal	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	3	Collecting_duct_principal	seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	1.37001710620427	0.983364839319471	2645	Macrophage_myeloid	0.0124469349254609	0.0328922495274102	phase1_label_consistent_with_top_marker_set	no_strong_cluster_level_immune_signal	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	4	Collecting_duct_principal	seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	0.671144225658992	0.828064097011693	2309	Macrophage_myeloid	0.0723088777278539	0.257687310524036	phase1_label_consistent_with_top_marker_set	no_strong_cluster_level_immune_signal	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	5	Collecting_duct_principal	seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	1.65822561050811	1	2097	Macrophage_myeloid	0.00706476305817461	0.0352885073915117	phase1_label_consistent_with_top_marker_set	no_strong_cluster_level_immune_signal	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	6	Fibroblast_stromal	seurat_cluster	Fibroblast_stromal	DCN,LUM,COL1A1,COL1A2	DCN,LUM,COL1A1,COL1A2	4	1.01783558578883	0.917144346013549	1919	Macrophage_myeloid	0.112171336708657	0.301719645648775	phase1_label_consistent_with_top_marker_set	no_strong_cluster_level_immune_signal	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	7	Endothelial	seurat_cluster	Endothelial	PECAM1,VWF,KDR,EMCN	PECAM1,VWF,KDR,EMCN	4	1.32725982636427	0.968390804597701	1740	Macrophage_myeloid	0.0412576628212427	0.125862068965517	phase1_label_consistent_with_top_marker_set	no_strong_cluster_level_immune_signal	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	8	Collecting_duct_principal	seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	1.00126082883329	0.860259433962264	1696	Macrophage_myeloid	0.443441729949242	0.623820754716981	phase1_label_consistent_with_top_marker_set	immune_marker_signal_requires_manual_review	medium_high	
cluster_marker_assignment	results/tables/gse231569_cluster_marker_assignment_audit.tsv	9	Injured_undifferentiated_epithelial	seurat_cluster	Injured_undifferentiated_epithelial	KRT8,KRT18,PROM1,HAVCR1,VCAM1	KRT8,KRT18,PROM1,HAVCR1,VCAM1	5	0.801474532311781	0.850718301061836	1601	Macrophage_myeloid	0.108988678237387	0.156152404747033	phase1_label_consistent_with_top_marker_set	no_strong_cluster_level_immune_signal	medium_high	
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0158439157495374	0.0253398586188146	9195							0
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.390889692600643	0.492444276539479	5294							1
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0706905614892468	0.203934426229508	1525							10
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0343817142574159	0.114359415305245	1163							11
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.129632941481525	0.3212890625	1024							12
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0837710050210033	0.343781597573306	989							13
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.109809098534581	0.299511002444988	818							14
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0499812505791905	0.186153846153846	650							15
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0743168731493858	0.27986906710311	611							16
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.138830947597074	0.356302521008403	595							17
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0402150418632886	0.148148148148148	540							18
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0139012978210095	0.0462962962962963	540							19
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0325369655119849	0.124066108218248	4417							2
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0381591982052169	0.175373134328358	536							20
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0580098417211462	0.215031315240084	479							21
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.033998176302505	0.0816326530612245	441							22
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0629672006518702	0.179710144927536	345							23
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0502555515950082	0.233333333333333	240							24
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0735997095616815	0.345454545454545	165							25
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0304402678717748	0.141025641025641	156							26
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.147513686987167	0.412162162162162	148							27
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0224402607440302	0.0533081285444234	2645							3
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.105880548107973	0.23906453009961	2309							4
