sample_id	patient_id	primary_group	n_genes_nonmissing	mean_expression	median_expression	sd_expression	missing_fraction	pca1	pca2	outlier_flag	notes
GSM1900701	ST49	plaque_or_stone_papilla	28338	5.2034422004688	4.98907223034444	2.45918773934349	0.115956948993917	53.8609364634123	-4.94809721975413	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900703	ST27	control_or_adjacent	28338	5.95367877685588	5.82039966267884	2.73370386446874	0.115956948993917	-28.6375765614335	-5.40065948481361	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900704	ST27	plaque_or_stone_papilla	28338	5.96925486988743	5.82523280338084	2.86706442000874	0.115956948993917	-39.6086850863297	-9.35607611925933	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900705	ST29	control_or_adjacent	28338	6.05564885242899	5.92796541128054	2.86793408936057	0.115956948993917	-47.3968474189009	-34.9468507183832	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900706	ST29	plaque_or_stone_papilla	28338	6.23342939147765	6.16148151443794	2.85185105061304	0.115956948993917	-56.4853119769652	-3.05455352216309	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900707	ST31	control_or_adjacent	28338	6.04811465284737	5.93951880131806	2.79067950561711	0.115956948993917	-42.2165339051865	9.6502827135121	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900708	ST31	plaque_or_stone_papilla	28338	5.98587245319156	5.86418006669279	2.78660709843018	0.115956948993917	-44.5947400668931	-3.62336872390236	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900709	ST32	plaque_or_stone_papilla	28338	5.79559104603704	5.51219780387209	2.32035423924248	0.115956948993917	29.1775376954797	13.5870871534392	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900710	ST35	control_or_adjacent	28338	6.6146211551487	6.18100034898003	2.26954592864276	0.115956948993917	-37.4908688452824	-22.2280710737782	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900711	ST35	plaque_or_stone_papilla	28338	6.0263039456952	5.73824658880198	2.50161931209368	0.115956948993917	-2.62398925033779	-34.8160775834589	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900713	ST36	control_or_adjacent	28338	6.13060276847261	5.87221486691493	2.24591925771993	0.115956948993917	10.099709839851	-8.79683283500727	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900714	ST40	control_or_adjacent	28338	5.98428235609786	5.76297591737705	2.17843866445471	0.115956948993917	22.0540679069307	15.0537726316672	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900715	ST40	plaque_or_stone_papilla	28338	6.74508299785116	6.50408659079903	2.54565283320722	0.115956948993917	-58.1386808076094	17.257774835583	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900716	ST43	control_or_adjacent	28338	5.92390294982461	5.68708518874717	2.28277748896205	0.115956948993917	15.9436375745874	-0.904079131282782	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900717	ST43	plaque_or_stone_papilla	28338	6.29064296571518	6.15883069804541	2.49536345064846	0.115956948993917	-11.4369803293323	9.01530540541075	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900718	ST44	control_or_adjacent	28338	6.62432664565328	6.48215941671145	2.64367126288703	0.115956948993917	-56.0011432833933	-1.76091678162501	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900719	ST44	plaque_or_stone_papilla	28338	6.74974935731074	6.57076437174375	2.71841254243172	0.115956948993917	-71.8099688977148	3.97822963493255	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900720	ST45	control_or_adjacent	28338	6.39283430696036	6.25967896454634	2.74791195077043	0.115956948993917	-52.9435523036944	-5.87427004726785	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900721	ST45	plaque_or_stone_papilla	28338	6.29749675505636	6.12393669710364	2.46941408363395	0.115956948993917	-26.9197119036465	15.4707447473786	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900722	ST48	control_or_adjacent	28338	6.35007837933	6.21186610207514	2.4774496904391	0.115956948993917	-16.5696409413558	5.24138373042551	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900723	ST48	plaque_or_stone_papilla	28338	6.2266800790003	6.04545749496434	2.36582120622792	0.115956948993917	20.0094870998066	16.4167686678312	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900724	ST50	control_or_adjacent	28338	6.14972175250989	6.05107687591644	2.4773539930875	0.115956948993917	4.76977019116751	27.5386880805542	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900725	ST50	plaque_or_stone_papilla	28338	6.12903365419199	6.05642507457298	2.43843706335645	0.115956948993917	21.0763133118988	24.2636291639798	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900726	ST52	control_or_adjacent	28338	6.43588063136132	6.23129540078833	2.28419822750088	0.115956948993917	38.4099732644265	28.9982750383619	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900727	ST52	plaque_or_stone_papilla	28338	6.65782720011901	6.56268285617337	2.90063914451757	0.115956948993917	-64.4756745822645	5.56398711488321	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900728	ST53	control_or_adjacent	28338	6.93690957018913	6.81358111542342	2.45802159802901	0.115956948993917	-25.2065352346333	28.179728639156	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900729	ST53	plaque_or_stone_papilla	28338	6.57599966835799	6.44970101414622	2.40348819977652	0.115956948993917	1.20483626607802	19.1326952148166	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900730	ST54	control_or_adjacent	28338	6.95373886660806	6.83321078823266	2.47865799813614	0.115956948993917	-32.619729238292	22.0091321125083	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900731	ST54	plaque_or_stone_papilla	28338	6.93619663636985	6.86516040857451	2.77612479405785	0.115956948993917	-66.9406105682417	12.039381490334	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900733	ST56	control_or_adjacent	28338	7.03376916656562	6.94435129151461	2.60244678438613	0.115956948993917	-57.2451617385928	19.7629846416104	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
GSM1900734	ST56	plaque_or_stone_papilla	28338	7.01280972018658	6.9574386628975	2.66490768549363	0.115956948993917	-62.0158561407901	23.1512566338915	FALSE	PCA computed on top variable genes after Stage 5B1 expression transformation; draft QC only.
