correlation_level	module_name	signature_name	n_observations	spearman_r	spearman_p	pearson_r	pearson_p	fdr	interpretation	notes
sample_level	MAGMA_top50	proximal_tubule	55	0.661832611832612	3.75786802651779e-08	0.666364792751906	2.80709375305565e-08	4.88522843447313e-08	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_MAGMA_Bonferroni_only	B_cell	55	0.727128427128427	3.24605902498477e-10	0.688797037874375	6.1342872537245e-09	7.33891605648731e-10	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_MAGMA_Bonferroni_only	ECM_fibrosis	55	0.778643578643579	2.59252462065802e-12	0.804910286554521	1.30345679613302e-13	1.42217272358042e-11	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_MAGMA_Bonferroni_only	LoopTAL	55	0.73008658008658	2.53486222015867e-10	0.69316171562371	4.49120108287745e-09	5.99149252037504e-10	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_MAGMA_Bonferroni_only	T_cell	55	0.626334776334776	3.14271088161503e-07	0.617452405652954	5.13259900396228e-07	3.63157701875514e-07	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_MAGMA_Bonferroni_only	collecting_duct	55	0.666089466089466	2.85768858064779e-08	0.669329119315698	2.31320819797315e-08	3.81025144086371e-08	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_MAGMA_Bonferroni_only	endothelial	55	0.83037518037518	4.5058138687049e-15	0.843503957507103	6.3449245934788e-16	2.1389430418476e-13	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_MAGMA_Bonferroni_only	epithelial_general	55	0.538383838383838	2.23723122833501e-05	0.554760526485956	1.10708650577676e-05	2.23723122833501e-05	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_MAGMA_Bonferroni_only	fibroblast_stromal	55	0.803463203463203	1.55473755911258e-13	0.815086667215342	3.61479137390936e-14	1.6321639483665e-12	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_MAGMA_Bonferroni_only	immune_myeloid	55	0.734920634920635	1.68033008135322e-10	0.742816019203527	8.41977615103739e-11	4.16081734430322e-10	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_MAGMA_Bonferroni_only	injury_epithelial	55	0.774891774891775	3.84440179615476e-12	0.80069081727977	2.17061427730818e-13	1.4279206671432e-11	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_MAGMA_Bonferroni_only	mineralization_remodeling	55	0.779437229437229	2.38287904368507e-12	0.788895987891586	8.48642852581261e-13	1.42217272358042e-11	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_MAGMA_Bonferroni_only	pericyte_smooth_muscle	55	0.714357864357864	9.11032675847766e-10	0.723684275665646	4.31187735216644e-10	1.52818384335754e-09	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_MAGMA_Bonferroni_only	proximal_tubule	55	0.655627705627706	5.55812458290254e-08	0.65090832876139	7.44083324636767e-08	7.04932873929102e-08	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_R2_R3_all_MAGMA_Bonferroni	B_cell	55	0.722655122655123	4.6898237523045e-10	0.688594413924005	6.22290156891131e-09	9.37964750460899e-10	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_R2_R3_all_MAGMA_Bonferroni	ECM_fibrosis	55	0.78015873015873	2.20637506107268e-12	0.807559888617636	9.40266082183668e-14	1.42217272358042e-11	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_R2_R3_all_MAGMA_Bonferroni	LoopTAL	55	0.703246753246753	2.13916098080316e-09	0.666181722370578	2.84064040788907e-08	3.37079912126559e-09	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_R2_R3_all_MAGMA_Bonferroni	T_cell	55	0.612337662337662	6.7615852114815e-07	0.617368713222342	5.15600483192567e-07	7.48090278717102e-07	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_R2_R3_all_MAGMA_Bonferroni	collecting_duct	55	0.680808080808081	1.07057227438673e-08	0.685209172911829	7.89445354924986e-09	1.54638217411416e-08	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_R2_R3_all_MAGMA_Bonferroni	endothelial	55	0.823160173160173	1.23400560106593e-14	0.838646623915006	1.33729033858464e-15	2.1389430418476e-13	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_R2_R3_all_MAGMA_Bonferroni	epithelial_general	55	0.563203463203463	7.59038239920467e-06	0.575784619092923	4.24116780740395e-06	7.89399769517286e-06	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_R2_R3_all_MAGMA_Bonferroni	fibroblast_stromal	55	0.803102453102453	1.6242195418256e-13	0.81579585798492	3.29607478098692e-14	1.6321639483665e-12	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_R2_R3_all_MAGMA_Bonferroni	immune_myeloid	55	0.72034632034632	5.65498418710688e-10	0.734934449607046	1.67833554367161e-10	1.05021134903413e-09	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_R2_R3_all_MAGMA_Bonferroni	injury_epithelial	55	0.771572871572872	5.41361476084892e-12	0.805507948951606	1.21140741044208e-13	1.56393315313413e-11	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_R2_R3_all_MAGMA_Bonferroni	mineralization_remodeling	55	0.776334776334776	3.30680138660377e-12	0.781029024622634	2.010003774622e-12	1.4279206671432e-11	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_R2_R3_all_MAGMA_Bonferroni	pericyte_smooth_muscle	55	0.721212121212121	5.27288065213054e-10	0.731968066747047	2.16227628496014e-10	1.01551775522514e-09	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
sample_level	R1_R2_R3_all_MAGMA_Bonferroni	proximal_tubule	55	0.641269841269841	1.32940978119629e-07	0.627168082953622	2.99899319510567e-07	1.5711206505047e-07	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top100	B_cell	26	0.273846153846154	0.175826304947627	0.448912538468777	0.0214243288648173	0.217689710887539	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
