input_item	expected	found	status	file_path	notes
stage5B1_module_scores	exists/readable	TRUE	pass	results/tables/revision/stage5B1_gse73680_module_response/gse73680_sample_module_scores.tsv	1210 rows
paired_delta_table	exists/readable	TRUE	pass	results/tables/revision/stage5B1_gse73680_module_response/gse73680_paired_module_delta.tsv	572 rows
signature_response_table	exists/readable	TRUE	pass	results/tables/revision/stage5B1_gse73680_module_response/gse73680_signature_response_summary.tsv	13 signatures
module_signature_correlation_table	exists/readable	TRUE	pass	results/tables/revision/stage5B1_gse73680_module_response/gse73680_module_signature_correlation.tsv	104 correlations
paired_patients_recoverable	26	26	pass	results/tables/revision/stage5B1_gse73680_module_response/gse73680_paired_module_delta.tsv	""
primary_MAGMA_modules_recoverable	R1_MAGMA_Bonferroni_only;R1_R2_R3_all_MAGMA_Bonferroni;MAGMA_top50;MAGMA_top100	R1_MAGMA_Bonferroni_only;R1_R2_R3_all_MAGMA_Bonferroni;MAGMA_top50;MAGMA_top100	pass	results/tables/revision/stage5B1_gse73680_module_response/gse73680_paired_module_delta.tsv	""
composition_injury_signatures_recoverable	>=8 major signatures	13	pass	results/tables/revision/stage5B1_gse73680_module_response/gse73680_signature_response_summary.tsv	B_cell;ECM_fibrosis;LoopTAL;T_cell;collecting_duct;endothelial;epithelial_general;fibroblast_stromal;immune_myeloid;injury_epithelial;mineralization_remodeling;pericyte_smooth_muscle;proximal_tubule
