dataset_id	section_id	sample_id	n_spots_total	n_tissue_spots	median_nCount_Spatial	median_nFeature_Spatial	median_percent_mt	image_available	roi_available	notes	representative_for_display	representative_selection_rule	no_roi_boundary
GSE206306	GSM6250307	GSM6250307	2438	2438	3649	1926	1.86472137438988	TRUE	FALSE	QC-passed tissue spots; no plaque/lesion ROI; tissue-context projection only.	FALSE	image available; median nFeature closest to the five-section median; ties resolved by larger tissue-spot count; correlation not used	No plaque/mineral/lesion ROI annotation
GSE206306	GSM6250308	GSM6250308	817	817	9555	4026	3.54879594423321	TRUE	FALSE	QC-passed tissue spots; no plaque/lesion ROI; tissue-context projection only.	FALSE	image available; median nFeature closest to the five-section median; ties resolved by larger tissue-spot count; correlation not used	No plaque/mineral/lesion ROI annotation
GSE206306	GSM6250309	GSM6250309	939	939	5173	2498	4.52410383189122	TRUE	FALSE	QC-passed tissue spots; no plaque/lesion ROI; tissue-context projection only.	TRUE	image available; median nFeature closest to the five-section median; ties resolved by larger tissue-spot count; correlation not used	No plaque/mineral/lesion ROI annotation
GSE206306	GSM6250310	GSM6250310	1085	1085	5078	2455	7.95508461173494	TRUE	FALSE	QC-passed tissue spots; no plaque/lesion ROI; tissue-context projection only.	FALSE	image available; median nFeature closest to the five-section median; ties resolved by larger tissue-spot count; correlation not used	No plaque/mineral/lesion ROI annotation
GSE206306	GSM7166170	GSM7166170	2468	2468	5139.5	2815.5	3.05972919132289	TRUE	FALSE	QC-passed tissue spots; no plaque/lesion ROI; tissue-context projection only.	FALSE	image available; median nFeature closest to the five-section median; ties resolved by larger tissue-spot count; correlation not used	No plaque/mineral/lesion ROI annotation
