gene	reporting_group	curated_exemplar_flag	broad_compartment	mean_expression	detection_fraction	n_donors_detected	dominant_compartment	loop_tal_detection_fraction	loop_tal_mean_expression	notes
PKD2	R1_MAGMA_Bonferroni_only	yes	Collecting_duct_principal	0.705762427634997	0.419380756980114	4	Pericyte_smooth_muscle	0.409259259259259	0.6666852750425	descriptive single-gene expression summary; no gene-level causal inference
PKD2	R1_MAGMA_Bonferroni_only	yes	Endothelial	0.721469168959448	0.426505082095387	4	Pericyte_smooth_muscle	0.409259259259259	0.6666852750425	descriptive single-gene expression summary; no gene-level causal inference
PKD2	R1_MAGMA_Bonferroni_only	yes	Fibroblast_stromal	0.692659826264766	0.420514319111631	4	Pericyte_smooth_muscle	0.409259259259259	0.6666852750425	descriptive single-gene expression summary; no gene-level causal inference
PKD2	R1_MAGMA_Bonferroni_only	yes	Injured_undifferentiated_epithelial	0.690883296821925	0.411266412537061	4	Pericyte_smooth_muscle	0.409259259259259	0.6666852750425	descriptive single-gene expression summary; no gene-level causal inference
PKD2	R1_MAGMA_Bonferroni_only	yes	Loop_of_Henle_TAL	0.6666852750425	0.409259259259259	4	Pericyte_smooth_muscle	0.409259259259259	0.6666852750425	descriptive single-gene expression summary; no gene-level causal inference
PKD2	R1_MAGMA_Bonferroni_only	yes	Pericyte_smooth_muscle	0.721507665028169	0.418918918918919	3	Pericyte_smooth_muscle	0.409259259259259	0.6666852750425	descriptive single-gene expression summary; no gene-level causal inference
UMOD	R1_MAGMA_Bonferroni_only	yes	Collecting_duct_principal	0.191858290036989	0.0909925679359523	4	Collecting_duct_principal	0.0759259259259259	0.162056515674989	descriptive single-gene expression summary; no gene-level causal inference
UMOD	R1_MAGMA_Bonferroni_only	yes	Endothelial	0.174694445525594	0.0840500390930414	4	Collecting_duct_principal	0.0759259259259259	0.162056515674989	descriptive single-gene expression summary; no gene-level causal inference
UMOD	R1_MAGMA_Bonferroni_only	yes	Fibroblast_stromal	0.187981197522534	0.0905902980713033	4	Collecting_duct_principal	0.0759259259259259	0.162056515674989	descriptive single-gene expression summary; no gene-level causal inference
UMOD	R1_MAGMA_Bonferroni_only	yes	Injured_undifferentiated_epithelial	0.180790357073434	0.0859805167301991	4	Collecting_duct_principal	0.0759259259259259	0.162056515674989	descriptive single-gene expression summary; no gene-level causal inference
UMOD	R1_MAGMA_Bonferroni_only	yes	Loop_of_Henle_TAL	0.162056515674989	0.0759259259259259	4	Collecting_duct_principal	0.0759259259259259	0.162056515674989	descriptive single-gene expression summary; no gene-level causal inference
UMOD	R1_MAGMA_Bonferroni_only	yes	Pericyte_smooth_muscle	0.17608040629287	0.0878378378378378	3	Collecting_duct_principal	0.0759259259259259	0.162056515674989	descriptive single-gene expression summary; no gene-level causal inference
