module_name	donor_id	sample_id	disease_status	broad_compartment	n_nuclei	n_genes_detected	mean_module_score	median_module_score	sd_module_score	sem_module_score	detection_fraction_mean	low_cell_count_flag	notes
MAGMA_FDR	GSM7290910	GSM7290910	healthy_control	Fibroblast_stromal	902	341	0.182154070904298	0.192441509738292	0.0720047735812869	0.00239749671243434	0.1297670214772	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_FDR	GSM7290910	GSM7290910	healthy_control	Injured_undifferentiated_epithelial	566	341	0.199174742264554	0.216860390617591	0.0728016117751854	0.0030600799884072	0.157192004393646	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_FDR	GSM7290910	GSM7290910	healthy_control	Loop_of_Henle_TAL	29	341	0.270282076609245	0.277841980183244	0.0403942166791031	0.00750101772662315	0.24744665790272	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_FDR	GSM7290910	GSM7290910	healthy_control	Pericyte_smooth_muscle	113	341	0.213255285492309	0.220352135258714	0.042917155709769	0.0040373063987848	0.169542989126204	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_FDR	GSM7290912	GSM7290912	healthy_control	Collecting_duct_principal	16248	341	0.181144211657346	0.180353602448894	0.0804118661056556	0.000630841398199298	0.117813011229174	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_FDR	GSM7290912	GSM7290912	healthy_control	Endothelial	810	341	0.220548488492109	0.221571631931599	0.0550939042150626	0.00193580247234166	0.16250678831324	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_FDR	GSM7290912	GSM7290912	healthy_control	Fibroblast_stromal	1733	341	0.194256124132894	0.201411085105165	0.0556160693463939	0.00133598324205374	0.126260464030134	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_FDR	GSM7290912	GSM7290912	healthy_control	Injured_undifferentiated_epithelial	55	341	0.149904984157829	0.137267791061721	0.0546721381372951	0.00737198960254714	0.081524926686217	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_FDR	GSM7290912	GSM7290912	healthy_control	Loop_of_Henle_TAL	244	341	0.257794589555148	0.263781456421886	0.0406477692208447	0.00260220677363468	0.18321234556031	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_FDR	GSM7290912	GSM7290912	healthy_control	Pericyte_smooth_muscle	14	341	0.200463398327112	0.206196308285677	0.0428020146974904	0.0114393196044051	0.136154168412233	yes	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_FDR	GSM7290913	GSM7290913	stone_disease	Collecting_duct_principal	1385	341	0.211330936713314	0.231114296654761	0.07410031478663	0.00199110959966798	0.167729231290428	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_FDR	GSM7290913	GSM7290913	stone_disease	Endothelial	305	341	0.219172383430872	0.229173951982868	0.0496184410491964	0.00284114366960207	0.191327340031729	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_FDR	GSM7290913	GSM7290913	stone_disease	Fibroblast_stromal	761	341	0.205965273389089	0.219227729275256	0.0587498506979611	0.00212968042398891	0.169810520961384	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_FDR	GSM7290913	GSM7290913	stone_disease	Injured_undifferentiated_epithelial	1727	341	0.1189518252615	0.101056174482722	0.0637882660082768	0.00153495139492949	0.0660189130032416	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
