module_name	donor_id	loop_tal_n_nuclei	n_compartments_compared	loop_tal_mean_score	loop_tal_rank	loop_tal_percentile_rank	top_compartment	top_compartment_score	rank_support_label	low_loop_tal_cell_count_flag	notes
R2_R3_MAGMA_plus_TWAS_proxy	GSM7290914	4	5	0.0956440529617153	4	25	Endothelial	0.137209631552841	lower_half	yes	within-donor rank by mean donor x compartment module score
R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	GSM7290910	29	6	0.140412989705689	4	40	Pericyte_smooth_muscle	0.188171395771722	lower_half	no	within-donor rank by mean donor x compartment module score
R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	GSM7290912	244	6	0.134479875384924	5	20	Pericyte_smooth_muscle	0.17787741053709	lower_half	no	within-donor rank by mean donor x compartment module score
R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	GSM7290913	263	6	0.139053612700684	5	20	Fibroblast_stromal	0.161955014860464	lower_half	no	within-donor rank by mean donor x compartment module score
R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	GSM7290914	4	5	0.103001287804924	4	25	Endothelial	0.134716082949378	lower_half	yes	within-donor rank by mean donor x compartment module score
R4_MAGMA_lower_priority	GSM7290910	29	6	0.305733062336472	1	100	Loop_of_Henle_TAL	0.305733062336472	top_rank	no	within-donor rank by mean donor x compartment module score
R4_MAGMA_lower_priority	GSM7290912	244	6	0.287059567598014	2	80	Endothelial	0.295799262425091	top_two	no	within-donor rank by mean donor x compartment module score
R4_MAGMA_lower_priority	GSM7290913	263	6	0.308439470379406	2	80	Endothelial	0.322527095489943	top_two	no	within-donor rank by mean donor x compartment module score
R4_MAGMA_lower_priority	GSM7290914	4	5	0.23714272647346	3	50	Endothelial	0.265017673602145	upper_half	yes	within-donor rank by mean donor x compartment module score
R5_TWAS_proxy_only	GSM7290910	29	6	0.107560908925936	6	0	Collecting_duct_principal	0.170688910598824	lower_half	no	within-donor rank by mean donor x compartment module score
R5_TWAS_proxy_only	GSM7290912	244	6	0.169201423864767	2	80	Pericyte_smooth_muscle	0.173937064153997	top_two	no	within-donor rank by mean donor x compartment module score
R5_TWAS_proxy_only	GSM7290913	263	6	0.1011666316195	5	20	Endothelial	0.172250513893917	lower_half	no	within-donor rank by mean donor x compartment module score
R5_TWAS_proxy_only	GSM7290914	4	5	0	4	25	Fibroblast_stromal	0.258832522907973	lower_half	yes	within-donor rank by mean donor x compartment module score
